artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,11 June 2011,Detroit,United States,Ford Field,Needtobreathe,3453549,Speak Now World Tour,47992,47992,TS Kaggle,TRUE
Taylor Swift,14 June 2011,Saint Paul,United States,Xcel Energy Center,Needtobreathe,1913737,Speak Now World Tour,28977,28977,TS Kaggle,TRUE
Taylor Swift,15 June 2011,Saint Paul,United States,Xcel Energy Center,Needtobreathe,1913737,Speak Now World Tour,28977,28977,TS Kaggle,TRUE
Taylor Swift,18 June 2011,Pittsburgh,United States,Heinz Field,Needtobreathe,4009118,Speak Now World Tour,52009,52009,TS Kaggle,TRUE
Taylor Swift,21 June 2011,Buffalo,United States,First Niagara Center,Needtobreathe,966749,Speak Now World Tour,14487,14487,TS Kaggle,TRUE
Taylor Swift,22 June 2011,Hartford,United States,XL Center,Needtobreathe,810165,Speak Now World Tour,12436,12436,TS Kaggle,TRUE
Taylor Swift,25 June 2011,Foxborough,United States,Gillette Stadium,Needtobreathe,8026350,Speak Now World Tour,110800,110800,TS Kaggle,TRUE
Taylor Swift,26 June 2011,Foxborough,United States,Gillette Stadium,Needtobreathe,8026350,Speak Now World Tour,110800,110800,TS Kaggle,TRUE
Taylor Swift,30 June 2011,Greensboro,United States,Greensboro Coliseum,Needtobreathe,990701,Speak Now World Tour,14789,14789,TS Kaggle,TRUE
Taylor Swift,01 July 2011,Knoxville,United States,ThompsonBoling Arena,Needtobreathe,903875,Speak Now World Tour,13754,13754,TS Kaggle,TRUE
Taylor Swift,14 July 2011,Montreal,Canada,Bell Centre,Needtobreathe,1254230,Speak Now World Tour,13439,13439,TS Kaggle,TRUE
Taylor Swift,15 July 2011,Toronto,Canada,Air Canada Centre,Needtobreathe,3036000,Speak Now World Tour,30144,30144,TS Kaggle,TRUE
Taylor Swift,16 July 2011,Toronto,Canada,Air Canada Centre,Needtobreathe,3036000,Speak Now World Tour,30144,30144,TS Kaggle,TRUE
