city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
Des Moines,United States,Wells Fargo Arena,Needtobreathe,862771.0,Speak Now World Tour,13149,13149,29/05/2011
Sunrise,United States,BankAtlantic Center,Needtobreathe,1582951.0,Speak Now World Tour,24077,24077,02/06/2011
Sunrise,United States,BankAtlantic Center,Needtobreathe,1582951.0,Speak Now World Tour,24077,24077,03/06/2011
Orlando,United States,Amway Center,Needtobreathe,791980.0,Speak Now World Tour,12262,12262,04/06/2011
Columbus,United States,Nationwide Arena,Needtobreathe,955259.0,Speak Now World Tour,14817,14817,07/06/2011
Milwaukee,United States,Bradley Center,Needtobreathe,897042.0,Speak Now World Tour,13748,13748,08/06/2011
Detroit,United States,Ford Field,Needtobreathe,3453549.0,Speak Now World Tour,47992,47992,11/06/2011
Saint Paul,United States,Xcel Energy Center,Needtobreathe,1913737.0,Speak Now World Tour,28977,28977,14/06/2011
Saint Paul,United States,Xcel Energy Center,Needtobreathe,1913737.0,Speak Now World Tour,28977,28977,15/06/2011
Pittsburgh,United States,Heinz Field,Needtobreathe,4009118.0,Speak Now World Tour,52009,52009,18/06/2011
Buffalo,United States,First Niagara Center,Needtobreathe,966749.0,Speak Now World Tour,14487,14487,21/06/2011
Hartford,United States,XL Center,Needtobreathe,810165.0,Speak Now World Tour,12436,12436,22/06/2011
Foxborough,United States,Gillette Stadium,Needtobreathe,8026350.0,Speak Now World Tour,110800,110800,25/06/2011
Foxborough,United States,Gillette Stadium,Needtobreathe,8026350.0,Speak Now World Tour,110800,110800,26/06/2011
Greensboro,United States,Greensboro Coliseum,Needtobreathe,990701.0,Speak Now World Tour,14789,14789,30/06/2011
Knoxville,United States,ThompsonBoling Arena,Needtobreathe,903875.0,Speak Now World Tour,13754,13754,01/07/2011
Montreal,Canada,Bell Centre,Needtobreathe,1254230.0,Speak Now World Tour,13439,13439,14/07/2011
Toronto,Canada,Air Canada Centre,Needtobreathe,3036000.0,Speak Now World Tour,30144,30144,15/07/2011
Toronto,Canada,Air Canada Centre,Needtobreathe,3036000.0,Speak Now World Tour,30144,30144,16/07/2011
Newark,United States,Prudential Center,Needtobreathe,3875463.0,Speak Now World Tour,51487,51487,19/07/2011
Newark,United States,Prudential Center,Needtobreathe,3875463.0,Speak Now World Tour,51487,51487,20/07/2011
Newark,United States,Prudential Center,Needtobreathe,3875463.0,Speak Now World Tour,51487,51487,23/07/2011
Newark,United States,Prudential Center,Needtobreathe,3875463.0,Speak Now World Tour,51487,51487,24/07/2011
Grand Rapids,United States,Van Andel Arena,Needtobreathe,724854.0,Speak Now World Tour,11012,11012,28/07/2011
Indianapolis,United States,Conseco Fieldhouse,Needtobreathe,877175.0,Speak Now World Tour,13329,13329,29/07/2011
Cleveland,United States,Quicken Loans Arena,Needtobreathe,976954.0,Speak Now World Tour,14873,14873,30/07/2011
Washington,United States,Verizon Center,Needtobreathe,2068789.0,Speak Now World Tour,29303,29303,02/08/2011
Washington,United States,Verizon Center,Needtobreathe,2068789.0,Speak Now World Tour,29303,29303,03/08/2011
Philadelphia,United States,Lincoln Financial Field,Needtobreathe,4268678.0,Speak Now World Tour,51395,51395,06/08/2011
Rosemont,United States,Allstate Arena,Needtobreathe,1909603.0,Speak Now World Tour,26112,26112,09/08/2011
Rosemont,United States,Allstate Arena,Needtobreathe,1909603.0,Speak Now World Tour,26112,26112,10/08/2011
St. Louis,United States,Scottrade Center,Needtobreathe,1850159.0,Speak Now World Tour,27965,27965,13/08/2011
St. Louis,United States,Scottrade Center,Needtobreathe,1850159.0,Speak Now World Tour,27965,27965,14/08/2011
Edmonton,Canada,Rexall Place,Needtobreathe,2136270.0,Speak Now World Tour,25336,25336,18/08/2011
Edmonton,Canada,Rexall Place,Needtobreathe,2136270.0,Speak Now World Tour,25336,25336,19/08/2011
Los Angeles,United States,Staples Center,Needtobreathe,3927154.0,Speak Now World Tour,54900,54900,23/08/2011
Los Angeles,United States,Staples Center,Needtobreathe,3927154.0,Speak Now World Tour,54900,54900,24/08/2011
Los Angeles,United States,Staples Center,Needtobreathe,3927154.0,Speak Now World Tour,54900,54900,27/08/2011
Los Angeles,United States,Staples Center,Needtobreathe,3927154.0,Speak Now World Tour,54900,54900,28/08/2011
San Jose,United States,HP Pavilion,Needtobreathe,1825448.0,Speak Now World Tour,24827,24827,01/09/2011
