Name,Genres,Popularity,Followers
Kenya Grace,singer-songwriter pop,75,381505
Jesse Barrera,"bedroom r&b, chill r&b",58,86710
Giacomo Puccini,"classical, italian opera, italian romanticism, post-romantic era",59,441944
Lyudmila Zykina,"bard, classic russian pop, russian romance",16,3041
The Wonder Years,"alternative emo, anthem emo, emo, philly indie, pop punk",51,269412
NECRONOMIDOL,"idol rock, j-pop girl group, kawaii metal",24,24161
Adalberto Santiago,"salsa, salsa puertorriquena",54,192438
Julia Vitória,brazilian gospel,59,352212
Krynoze,"lo-fi sleep, lo-fi study",51,4415
Fiora,vocal trance,46,10874
Comet Blue,deep tropical house,48,9132
Yiyo Sarante,"modern salsa, salsa",63,595360
Samuel Kim,anime lo-fi,61,320424
The Jackson 5,"motown, soul",70,1455339
Priscilla Chan,"c-pop, cantopop, classic cantopop",45,188907
Ariana DeBose,show tunes,57,10637
Neck Deep,"pop punk, uk pop punk",64,1397930
Keto Dzhaparidze,russian romance,0,4
Charlie Brown Jr.,"brazilian rock, hard rock brasileiro, rock alternativo brasileiro, rock nacional brasileiro",72,6763910
Dissection,"black metal, death metal, gothenburg metal, melodic black metal, metal, swedish black metal, swedish death metal, swedish metal",44,183252
Angela Chang,mandopop,49,499531
Showtek,"classic hardstyle, dutch house, edm, electro house, euphoric hardstyle, melbourne bounce, pop dance, progressive electro house",60,472262
Aaron Kwok,"c-pop, cantopop, classic cantopop",42,124898
El Alfa,"dembow, rap dominicano, reggaeton, trap latino, urbano latino",75,3214707
Rotting Christ,"black metal, gothic black metal, greek black metal, greek metal, melodic black metal, metal, symphonic black metal, symphonic deathcore, viking metal",44,226625
Heijan,turkish hip hop,66,1503767
Freq Nasty,"breakbeat, nu skool breaks, nz electronic",22,6500
Moonspell,"gothic black metal, gothic metal, melodic death metal, metal, portuguese black metal, portuguese metal, portuguese rock, power metal",41,232617
Sevendust,"alternative metal, atlanta metal, industrial metal, nu metal, rap metal",52,1084642
William Basinski,"ambient, compositional ambient, drone, fourth world, hauntology, intelligent dance music, sound art",41,115797
Immolation,"black metal, brutal death metal, death metal, grindcore, new york death metal, technical death metal, thrash metal",35,106830
WMD,chill beats,57,19259
Everything But The Girl,"new wave pop, sophisti-pop, trip hop",55,356422
De La Soul,"east coast hip hop, golden age hip hop, hip hop, jazz rap",58,965415
Thiaguinho,"pagode, pagode novo, sertanejo universitario",70,3660641
Jain,french pop,65,928749
Acapulco Tropical,"cumbia sonidera, mexican rock-and-roll, ranchera, tropical",50,375499
Alcest,"atmospheric black metal, blackgaze, emotional black metal, french black metal, french metal, french shoegaze, post-black metal, post-metal, shoegaze",44,263369
Grimes,"art pop, canadian electropop, grave wave, indietronica, metropopolis, neo-synthpop",66,2199045
Earl Klugh,"jazz guitar, smooth jazz",45,174369
Dion & The Belmonts,"brill building pop, doo-wop, rock-and-roll, rockabilly",46,206149
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",83,24947983
